County Name,County Code,County FIPS Code,Latitude,Longitude,Week Begin Date,Total Calls,Total Intakes,Caller Receiving Warm-Line Connection,Male Callers,Female Callers,Callers Using Heroin,Callers Using Cannabis,Callers Using Alcohol,Callers Using Benzodiazepine,Callers Using Opiates,Callers Using Hallucinogens,Callers Using Stimulants,Callers Using Depressants,Callers Using Narcotics - Not Specificied,Callers Using Methadone,Callers Using Suboxone,Callers Using Dissociative Anesthetic,Callers Receiving at least 1 Resource,Callers Receiving Information and Resources Only,Callers Referred for Assessment and Diagnostics,Callers Referred to Outpatient Treatment,Callers Referred to Medication Assisted Treatment,Callers Referred for Detox/Crisis Stabilization,Callers Referred to Intensive Outpatient Treatment,Callers Referred to Inpatient Residential Treatment,Callers Referred to the Emergency Room,Callers Referred for Recovery Support,Callers Referred to Social Services,Callers Referred to their SCA,Georeferenced Latitude & Longitude
Commonwealth,00,42000,39.346129,-75.167756,02/27/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/15/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/24/2017,301,135,127,79,56,,,,,,,,,,,,,135,0,11,12,13,57,0,20,9,0,1,17,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/09/2017,491,222,240,129,93,,,,,,,,,,,,,222,0,3,22,16,145,0,25,10,1,1,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/12/2018,462,212,221,122,90,0,0,7,20,22,24,12,8,119,,,,206,2,6,23,11,113,2,54,0,1,0,30,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/08/2019,299,153,136,94,59,29,13,54,4,27,3,40,3,9,6,10,0,153,1,12,14,7,68,3,27,0,1,0,31,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/22/2018,262,134,131,88,46,38,8,39,7,28,2,43,0,4,3,8,,134,0,12,14,6,59,4,32,5,0,0,16,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/14/2016,445,197,195,116,81,,,,,,,,,,,,,197,3,3,28,9,116,4,39,12,5,1,9,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/23/2018,324,156,152,95,61,39,16,70,7,18,5,33,2,4,1,9,,156,0,11,23,7,66,0,31,0,1,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/17/2020,261,132,112,87,45,27,6,42,7,33,2,29,0,17,5,5,1,132,1,14,14,5,50,3,25,6,2,0,31,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/28/2019,304,163,141,91,72,41,13,55,10,37,4,31,2,16,2,8,0,163,1,6,25,3,68,2,18,2,1,0,43,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/19/2016,279,111,105,65,46,,,,,,,,,,,,,111,0,8,16,10,66,0,14,4,0,0,5,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/04/2019,310,162,137,104,58,44,18,50,7,23,6,49,2,3,8,14,0,162,0,16,12,13,67,0,26,4,1,1,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/23/2017,508,193,194,120,73,,,,,,,,,,,,,193,0,4,14,11,142,1,31,4,0,0,8,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/11/2017,247,102,107,57,45,,,,,,,,,,,,,102,0,3,12,3,52,0,17,1,1,0,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/05/2019,295,135,126,86,49,18,4,48,1,12,1,32,1,4,2,3,0,135,0,0,5,2,68,1,1,2,0,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/21/2019,301,163,145,101,62,45,8,42,4,20,4,31,1,21,3,9,0,163,1,9,11,6,81,0,23,1,1,0,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/16/2020,201,118,108,78,40,30,18,30,5,19,1,18,1,15,9,6,1,118,1,10,8,7,36,0,18,3,1,0,40,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/01/2020,295,173,131,107,66,35,14,57,14,39,6,46,0,13,6,4,0,173,1,2,7,7,99,3,36,8,3,0,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/04/2017,307,154,169,99,55,,,,,,,,,,,,,154,0,6,8,3,98,0,29,2,1,0,22,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/01/2017,336,165,160,98,67,,,,,,,,,,,,,165,0,10,9,8,74,0,20,8,2,1,44,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/31/2017,326,128,134,82,46,,,,,,,,,,,,,128,0,6,10,2,83,0,12,1,2,0,20,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/08/2017,301,154,145,92,62,,,,,,,,,,,,,154,0,12,11,9,80,1,11,6,0,1,28,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/13/2017,281,103,107,63,40,,,,,,,,,,,,,103,0,5,9,8,41,0,20,2,3,0,19,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/20/2017,363,155,170,96,59,,,,,,,,,,,,,155,0,8,18,9,106,0,16,1,1,0,14,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/25/2020,291,160,121,90,70,37,13,57,7,34,3,32,0,16,0,7,0,160,0,8,12,6,88,2,16,10,2,1,34,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/24/2018,321,156,148,94,62,49,6,42,5,29,7,32,1,5,3,9,,156,0,20,5,3,94,1,17,1,1,0,18,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/08/2019,401,192,179,127,163,60,8,50,11,36,7,47,3,11,2,9,0,192,1,19,11,5,73,3,44,1,0,0,35,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/18/2019,224,125,107,72,53,34,5,35,6,25,2,28,2,10,3,13,0,125,0,6,9,4,51,0,21,2,1,0,36,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/29/2020,305,176,134,101,75,52,10,41,9,31,2,46,0,17,4,11,0,176,0,11,22,6,89,4,46,12,2,0,31,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/03/2017,374,179,201,99,80,,,,,,,,,,,,,179,3,21,7,5,102,0,24,8,0,1,51,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/02/2017,303,139,151,78,61,,,,,,,,,,,,,139,0,5,6,7,81,1,23,2,1,1,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,08/27/2018,309,136,140,74,62,37,15,46,5,19,3,43,2,8,2,7,,136,0,8,5,3,74,0,42,4,2,1,16,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/14/2019,284,169,151,104,65,33,15,52,5,23,5,40,0,20,5,5,0,169,1,7,8,3,72,1,39,3,1,0,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/18/2017,192,73,77,52,21,,,,,,,,,,,,,73,1,3,10,6,33,0,13,1,0,0,12,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/14/2018,317,166,171,96,70,43,13,42,12,48,3,38,2,8,,,,166,0,3,18,12,78,1,40,0,0,0,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/05/2017,307,152,145,92,60,,,,,,,,,,,,,152,0,8,5,8,82,1,15,1,3,1,28,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/06/2020,271,149,132,87,62,25,7,54,5,19,2,40,1,18,1,7,0,149,1,9,12,3,61,2,32,2,2,0,33,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/20/2020,237,127,100,71,56,30,5,26,5,24,4,25,3,15,5,16,0,127,2,5,10,13,54,1,29,4,4,0,22,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/26/2018,224,113,106,69,44,36,15,38,4,18,1,30,1,4,3,7,,113,0,5,14,6,45,1,15,3,2,1,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,03/11/2019,270,130,115,79,51,33,11,45,12,30,2,41,3,7,2,6,0,130,0,8,19,8,55,0,16,0,2,0,24,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/25/2018,301,116,108,71,45,26,1,40,4,21,0,29,0,10,0,,,116,0,7,19,6,34,4,30,2,0,1,21,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,09/09/2019,297,154,128,93,61,35,8,54,7,28,1,38,2,13,6,11,0,154,1,13,17,7,62,2,25,2,2,0,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,05/27/2019,265,130,117,84,46,37,10,35,3,26,7,24,2,16,2,10,1,130,1,8,7,8,58,1,20,0,1,0,29,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/30/2018,298,139,132,82,57,37,14,49,2,34,3,30,3,12,3,6,,139,0,8,14,7,71,1,19,0,1,0,27,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,06/03/2019,295,156,139,82,74,33,17,50,2,16,4,31,2,17,6,8,0,156,1,12,20,8,57,1,29,3,0,1,25,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/04/2019,340,179,150,108,71,38,15,59,13,33,3,42,3,7,2,14,0,179,0,19,16,10,62,4,24,6,0,0,43,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,11/21/2016,345,155,134,95,60,,,,,,,,,,,,,155,1,3,24,10,97,1,17,15,2,1,9,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,04/16/2018,440,212,209,123,89,62,14,57,11,56,3,37,2,11,,,,212,1,6,22,14,96,2,57,3,0,1,26,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,12/26/2016,357,170,164,86,84,,,,,,,,,,,,,170,0,0,22,11,118,1,12,6,0,0,6,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,01/08/2018,328,118,129,70,48,,,,,,,,,,,,,118,0,3,9,11,71,1,21,1,0,1,11,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,02/11/2019,298,151,129,95,56,48,8,51,11,19,0,36,2,7,7,5,0,151,0,20,14,2,47,2,26,3,1,2,37,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,07/02/2018,354,157,159,98,59,47,13,49,12,33,3,47,0,7,4,10,,157,0,9,12,6,66,1,34,0,2,0,38,POINT (-75.167756 39.346129)
Commonwealth,00,42000,39.346129,-75.167756,10/29/2018,258,133,133,83,50,42,5,49,6,29,1,37,1,1,3,8,,133,0,3,6,4,69,3,40,4,1,1,18,POINT (-75.167756 39.346129)
