County,Count,Year,Suppression Information,Type of Overdose Death,County Code Number,County Code Text,State FIPS Code,County FIPS,Latitude,Longitude,Georeferenced Latitude & Longitude
Pennsylvania,3119,2015,,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Pennsylvania,4540,2016,,Any Drug Overdose Deaths,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Potter,0,2013,,Any Drug Overdose Deaths,53,53,42,105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Juniata,0,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Allegheny,289,2013,,Any Drug Overdose Deaths,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Clinton,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,18,18,42,35,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Fayette,75,2017,,Any Drug Overdose Deaths,26,26,42,51,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Armstrong,17,2014,,Any Drug Overdose Deaths,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Juniata,,2013,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Beaver,62,2019,,Any Drug Overdose Deaths,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Bradford,12,2017,,Any Drug Overdose Deaths,8,8,42,15,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Warren,,2016,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Clearfield,29,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Montgomery,139,2015,,Any Drug Overdose Deaths,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Mercer,37,2019,,Any Drug Overdose Deaths,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Venango,,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Huntingdon,,2015,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Adams,,2012,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Cameron,0,2020*,*2020 data as of September 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months.,Any Drug Overdose Deaths,12,12,42,23,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Snyder,,2021*,*2021 data as of October 2022. Finalized death certificates for overdose deaths are often delayed by 3-6 months. Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55,55,42,109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Cumberland,23,2013,,Any Drug Overdose Deaths,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Berks,117,2019,,Any Drug Overdose Deaths,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Carbon,28,2017,,Any Drug Overdose Deaths,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Adams,16,2018,,Any Drug Overdose Deaths,1,1,42,1,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Lackawanna,38,2014,,Any Drug Overdose Deaths,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Northampton,59,2019,,Any Drug Overdose Deaths,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
