Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Number of Days Hospitalized,Number of Days Hospitalized Description,Number of Days Hospitalized Notes,Estimated Lost Wages,Estimated Lost Wages Description,Estimated Lost State Income Tax Revenue,Estimated Lost State Income Tax Revenue Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude & Longitude,Latitude,Longitude
County,Crawford,All,All (21 to 64 years),2017,2017 Q2,4/1/2017-6/30/2017,160,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,16754.29,Lost wages dues to hospitalization for opioid use,514.36,Estimated state income tax revenue lost during hospitalizations due to opioid use,20,20,42,39,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692),41.68546907,-80.11321083
County,Lancaster,All,All (21 to 64 years),2018,2018 Annual,1/1/2018-12/31/2018,1679,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,213129.14,Lost wages dues to hospitalization for opioid use,6543.06,Estimated state income tax revenue lost during hospitalizations due to opioid use,36,36,42,71,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619),40.04590796,-76.25138768
State,Commonwealth,Female,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,4299,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,752544.43,Lost wages dues to hospitalization for opioid use,23103.11,Estimated state income tax revenue lost during hospitalizations due to opioid use,0,0,42,0,"(39.346129, -75.167756)",POINT (-75.167756 39.346129),39.346129,-75.167756
County,Juniata,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,1,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,95.43,Lost wages dues to hospitalization for opioid use,2.93,Estimated state income tax revenue lost during hospitalizations due to opioid use,34,34,42,67,"(40.5343300836, -77.405775001)",POINT (-77.405775001 40.5343300836),40.53433008,-77.405775
County,McKean,All,All (21 to 64 years),2020,2020 Q2,4/1/2020-6/30/2020,15,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1767.86,Lost wages dues to hospitalization for opioid use,54.27,Estimated state income tax revenue lost during hospitalizations due to opioid use,42,42,42,83,"(41.810370736, -78.5712201998)",POINT (-78.5712201998 41.810370736),41.81037074,-78.5712202
County,Montgomery,All,All (21 to 64 years),2018,2018 Q2,4/1/2018-6/30/2018,1023,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,182094.00,Lost wages dues to hospitalization for opioid use,5590.29,Estimated state income tax revenue lost during hospitalizations due to opioid use,46,46,42,91,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739),40.20989874,-75.37252001
County,Greene,All,All (21 to 64 years),2020,2020 Q1,1/1/2020-3/31/2020,12,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,1933.71,Lost wages dues to hospitalization for opioid use,59.37,Estimated state income tax revenue lost during hospitalizations due to opioid use,30,30,42,59,"(39.8548039342, -80.2294381655)",POINT (-80.2294381655 39.8548039342),39.85480393,-80.22943817
County,Cameron,All,All (21 to 64 years),2019,2019 Q4,10/1/2019-12/31/2019,,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,,Lost wages dues to hospitalization for opioid use,,Estimated state income tax revenue lost during hospitalizations due to opioid use,12,12,42,23,"(41.4388026531, -78.2091693241)",POINT (-78.2091693241 41.4388026531),41.43880265,-78.20916932
County,Perry,All,All (21 to 64 years),2017,2017 Q4,10/1/2017-12/31/2017,76,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,7133.14,Lost wages dues to hospitalization for opioid use,218.99,Estimated state income tax revenue lost during hospitalizations due to opioid use,50,50,42,99,"(40.4041531744, -77.2590738496)",POINT (-77.2590738496 40.4041531744),40.40415317,-77.25907385
County,Northumberland,All,All (21 to 64 years),2019,2019 Q1,1/1/2019-3/31/2019,30,Days hospitalized due to opioid use,Number of days hospitalized not displayed when total is less than 11,3467.14,Lost wages dues to hospitalization for opioid use,106.44,Estimated state income tax revenue lost during hospitalizations due to opioid use,49,49,42,97,"(40.8515092572, -76.7118842273)",POINT (-76.7118842273 40.8515092572),40.85150926,-76.71188423
